,text,
4,"🌹 Cold weather, warm heart 🌹

#London #Uk #winter @ London, United Kingdom https://t.co/MuymJ1mt0a",y
5,"London, United Kingdom
10.0°C | 50.0°F
Humidity: 94%
Light Rain https://t.co/qiuf5EnIRu",
15,"🎄Great afternoon for a 5Km hike through Springbank Park in London, Ontario. Weather advisory warns of heavy snow ov… https://t.co/DXDU3w7jMO",y
18,Headed into #London this rainy evening to see the #Christmas #lights. Couldn't resist stopping… https://t.co/fB15LRIdEm,y
19,#ldnont Getting in the Christmas spirit! https://t.co/11yOIqi63q,
22,#London #weather Partly Cloudy tomorrow! With a high of 47F and a low of 36F. https://t.co/9LPy4SV9rP,y
25,5pm: Mostly Cloudy -4.8C - Feels: -11C - Wind: WSW 18km/h - Bar: 103.0 kPa ^ - Hum: 67% #London #Weather,y
31,#London Dec 10 21:50 Temperature 9C light rain Wind NW 13 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
35,"I'm coming home people!!!!! Back to cold rainy England, yay me!! 😒 xx — travelling to London, United Kingdom from... https://t.co/m8oJXZZfUP",y
40,It's been a very cloudy day today here in London and I think I may have overslept. Haha. Man was I really tired. https://t.co/GVqaloNqCS,y
48,very nice babe xxxxx https://t.co/KgxtiydMHY,
52,"London, that's a bit too warm for this time, don't you think? #warmandcozy #sweaterweather #dotheyknowitschristmas https://t.co/J4WA9odEKB",y
60,"Rainy London days.
@carolinecaloway https://t.co/uWXysW7MDS",y
61,it's sunny in london. even a little hot. you will need sun cream if you don't want to die a horrible painfull death by sunburn.,y
65,6pm: Mostly Cloudy -4.9C - Feels: -11C - Wind: WSW 19km/h Gusts to 31km/h - Bar: 103.0 kPa ^ - Hum: 75% #London #Weather,y
68,@SouthernRailUK We surely entitled to more then 100% as took the piss at brighton for 3 hours then go all way thro london. Cold wet etc?,
73,driving from Bristol to London in the pouring rain on 4 hours sleep was really not a great idea 🙃😴,y
79,you need to SPEND MONEY to stand outside in the cold in a normal road??? what the fuck london???,y
81,#cold #kuwait #5 #london #8 https://t.co/AcoFzkI6Dr,
83,"@mrgnptts I picked snow but mostly bc easier to read ""from bleakest London"". Trees are nice ironic contrast but text v light",
101,7pm: Mostly Cloudy -4.8C - Feels: -10C - Wind: W 15km/h - Bar: 103.0 kPa ^ - Hum: 80% #London #Weather,y
103,Yet *another* flood caused by potable water how long must we subsidize this continued failure by @thameswater  https://t.co/v0bmm8DeYP,
104,Rainy igloo in #london #birthdays #towerbridge #thames @ Coppa Club Tower Bridge https://t.co/Iqj94ga35a,
106,The fact that I remembered about the tea and honey I brought home from London completely made my day. Hopefully it helps me kick this cold 😷,
109,Leaving rainy London on the Today programme.,y
117,@JohannahDarling Sydney Rain? I thought North West was funny. What's next? Cloudy London? Snowy New York? LOL. #nonexistentbaby,y
121,HOODED...#winter #warm #tattoo #boy #park #life #skater #boy #london #life #clothing #streetwear #jumper #trendy #uk https://t.co/M9bhQyLEyj,
124,8pm: Mostly Cloudy -5.0C - Feels: -11C - Wind: WSW 17km/h - Bar: 103.0 kPa ^ - Hum: 76% #London #Weather,y
125,"Rainy starlights. Illusion. @ London, United Kingdom https://t.co/xyOE8IUhwU",y
126,The temperature is 6C and currently/forecast light rain in #London @ Sun 01:15:02GMT,y
129,Roads getting slick out there in #ATX. Drizzle to light rain is ongoing &amp; will continue into the night. #London-esq… https://t.co/EVC3gjSi81,y
131,"""She'd first seen Covent Garden after a heavy snow, walking with her hand in Win's, and she remembers the secret silence of London then...""",
134,"Did we say a shower after midnight in our earlier forecast? Oops ... what we meant was light rain, drizzle tonight.… https://t.co/FFDxUjwoH4",y
156,"@AmnanFauzi haha not going to london😆going to a bright sunny place, airasia😎🏖",y
160,9pm: Partly Cloudy -5.9C - Feels: -11C - Wind: WSW 13km/h - Bar: 103.0 kPa ^ - Hum: 78% #London #Weather,y
170,Gorgeous flashy Rainbow Moonstone with London Blue Topaz ❤️❤️❤️ https://t.co/W4GpwVc3aD,
179,@sam_p0415 we can sail to London and maybe the scent of the sea will make your cold leave,
182,"even I stayed in London, there was the temperature -0, and it was not cold as Kuwait, I mean when we were at home😅",y
189,10pm: Partly Cloudy -5.6C - Feels: -10C - Wind: WSW 10km/h - Bar: 102.9 kPa v - Hum: 78% #London #Weather,y
191,"@alfuncoot jumpers, cloudy weather, london, breadsticks, the miserable mill",y
204,"Said by Rumi
Pic of a cloudy Southbank view
#quote #seek #London #bigben #londoneye #south… https://t.co/cJ9KPkR4AK https://t.co/6rNH1a8PJa",
210,11pm: Mostly Cloudy -6.5C - Feels: -11C - Wind: WSW 10km/h - Bar: 103.0 kPa v - Hum: 81% #London #Weather,y
214,"Location: London لندن

Baby its cold outside ❄️🎄

 #hello965london #london @ Covent Garden London https://t.co/JHM2nXIBw2",
219,teringat kat london pakai baju 4 lapis sebab tak tahan sejuk lol such a loser me hoping melbourne isn't that cold,
220,This cold. Keep at it. https://t.co/hDp7CXVmz7,y
222,"""#286: Print Skirt, Grey Top"" by eiluned on Polyvore featuring J. JS Lee, Rumour London, Rainbow Clu https://t.co/8y9zekFNjQ",
227,"@PakPressWatch London preacher and friend hail fanatic who killed politician in Pakistan as 'hero and martyr'
https://t.co/md1ikrGqZd",
228,12am: Partly Cloudy -6.7C - Feels: -11C - Wind: WSW 10km/h - Bar: 103.0 kPa v - Hum: 83% #London #Weather,y
229,The temperature is 4C and currently/forecast fog in #London @ Sun 05:25:02GMT,y
236,HOODED...#winter #warm #tattoo #boy #park #life #skater #boy #london #life #clothing #streetwear #jumper #trendy #uk https://t.co/UbdAYHZPEo,
237,The temperature is 4C and currently/forecast fog in #London @ Sun 05:55:01GMT,y
238,"Morning London tweeters! Sunrise: December 11, 2016 at 08:38AM Cloudy today! With a high of: 11 https://t.co/uDybJMlltd",y
239,"Morning, London! Today will be Partly Cloudy; high 9C (48F) / low 2C (36F). Wind Southwest 6mph (10kmph).",y
240,London Weather: Partly Cloudy today! With a high of 9C and a low of 2C.,y
241,Central London Weather: Cloudy today! With a high of 11C -- @z1radio https://t.co/ol6ClD5yuv,y
242,"#goodmorning sun rises December 11, 2016 at 08:56AM let me check the #London #weather for you. Well, Partly Cloudy today! with a high of 9 …",y
243,1am: Partly Cloudy -6.8C - Feels: -12C - Wind: WSW 11km/h - Bar: 102.9 kPa v - Hum: 85% #London #Weather,y
248,Ozil could have won two UCL medals but he's now celebrating Assists like trophies in downtown London https://t.co/f3qeoZ7J3P,
254,"Unreal City,
Under the brown fog of a winter dawn,
A crowd flowed over London Bridge, so many, 
I had not thought death had undone so many.",
258,How cold can it get in London? https://t.co/YQpK2TYEU2,y
261,@markiplier Did you get your hair wet by accident while in rainy ol' London?,y
262,"In 1890, there was no sunshine for the whole month of December in Westminster in London.",y
269,#London #WeatherPartly Cloudy today! With a high of 48F and a low of 36F. https://t.co/77oTrDHtOE,y
270,"#London Sunrise: December 11, 2016 at 07:56AM Partly Cloudy today! High of: 9C &amp; low of:2C https://t.co/OcapOJ8huE",y
271,"London: min 2 C, max 9 C, Partly Cloudy. (2016-12-11) #weather #London https://t.co/vD21ZX8Mhj",y
