text,type
787 is seeing slight reduced visibility due to light rain and moderate fog. Cars taking it slow @WTEN,y
Good morning. Current condition is Cloudy and the temperature is 64 Fahrenheit. We would like to wish everyone a great day.,y
I'm so sick of this cold now... I just wanna stop blowing my nose... that is all!!,y
AM Showers today!,y
RT @LissetteCBS4: 2 cold fronts on the way! The first could spark some storms. 2nd front will usher in cooler air by Friday @CBSMiami https…,y
Traffic and fog on I-77 at NC/SC state line. Lights on low beam #clttraffic #clt https://t.co/ni41xPljhK,y
Rainbow in the sky! ⛅️🌧🌈 https://t.co/bU9sBGZoi7,y
Wonderful #choir @MalvernStJames @GMPriory Thanks to everyone who attended on such a #foggy night… https://t.co/OWverDcPYW,y
Knowing damn well I hate the cold with a passion,y
Temperature: 15.7°F | Humidity: 99% | Pressure: 30.09in ( Falling) | Conditions: Overcast | Wind Direction: NE | Wind Speed: 1.6mph,y
Teetime on a realy cold day... #tee #winter #karlsruhe Instagram📷: @vlogerle @ Karlsruhe… https://t.co/htq3vCjPca,y
@denverpost @dpmcghee maybe they'll finally realize how stupid it is to be homeless in a cold weather state!,y
So cold! :(,y
Winter light #ural #асбест #landscape #instanature #trees #sunlight #snow #sun #shadow #winter… https://t.co/o45IbUL25P,y
"RT @TheMontyDon: Home again, dogs at my feet, garden outside bathed in balmy sunshine and kettle on. I dont think Nigel even noticed… ",y
RT @CBSThisMorning: .@LonnieQuinnTV is tracking an arctic blast that is expected to bring cold temperatures to millions of Americans ac… ,y
"@Joseph_Finn87 It's not at weekends, woo! It's just as I'm off with this fucking cold that I am exposed to it. It's not helping though.",y
too cold for you here,y
RT @WPXIScott: Snow showers developing next several days.  I'm tracking our coldest air so far this season now on Channel 11 News. https://…,y
There's no reason to feel the cold with Lincolnshire Energy Switch Scheme potentially offering lower energy bills! https://t.co/H1skYTq7uR,y
"RT @Apostrophe99: Jack Delano (1914-1997 American) • Main street intersection in Norwich, Connecticut, on a rainy day.… ",y
"RT @RexelUK: its starting to get cold, have a look at our #herschel infrared #heating systems #efficientenergy #renewables https://t.co/SBD…",y
"Tell me about it. Baby, It's cold outside! https://t.co/QDBcsSgQLL",y
RT @ninjasexparty: when it's cold outside there's nothing quite like curling up with a good book in front of a roaring lion,y
"It's gonna be cold today, make sure to cover up! 😘",y
"RT @NWSBirmingham: Mostly cloudy skies prevail today, but we'll stay rain free. Cool temps in the 50s can be expected this afternoon.… ",y
The fog this morning is beautiful!,y
Rainbow will come after hurricane (?) 🌈 https://t.co/E7MhMKOZ4E,y
"I walked outside feeling sorry that I had to get out in the cold, but hell nah I feel sorry for Chandy having to stay out near the water",y
We be cold as shit waiting 4 the bus.,y
"RT @duchas_ie: Irish words in the English of Rossnacaheragh, Cork: 'Siocán - A person who feels cold even in mild weather'… ",y
The cold instantly puts me in a bad mood,y
#sunshine #ocean #spiritual #spirituality #deep #beyourself #loveyourself #lovelife… https://t.co/fvAMftcPMs,y
"RT @NWSChicago: Cold, snow, and more cold. Sounds alot like winter across the midwest. #winter #ilwx #inwx https://t.co/M6AjZ1Bvyv",y
"RT @SpecNewsATX: It'll be a cold sunrise at 715 w/some patchy fog, mostly cloudy today w/light south winds.  https://t.co/3PgS0IoxyY https:…",y
"Sunrise, clouds, and fog. #goodmorning https://t.co/1HwoxNdQIJ",y
It's gonna be mighty cold,y
Coldest Air of The Late Fall Season to Affect Arkansas. A Strong Cold Front &amp; Arctic High Pressure System... #arwx https://t.co/GbMlO1jjaR,y
RT @LV_Broker: 🎶 The cold never bothered me anyway ☃ so don’t let it bother your customers this winter #BePrepared… ,y
dreading getting out of bed today. It's so cold and my bed is so so so warm.,y
@wjxt4 today is the greatest day of yesterday's wet weather god is truly blessed us all on earth and our universe I love u all ver,y
#sierranevada #usa #mountains #clouds #california #brume #mist #nevada @ Sierra Nevada Mountains https://t.co/Iu2ct4knzc,y
"@dartmedia no heat on the TRE the last couple of mornings. Tomorrow is supposed to be really cold, any plans for heat then?",y
What a gloomy night. https://t.co/MSeS6BT1zp,y
"RT @TheMontyDon: Home again, dogs at my feet, garden outside bathed in balmy sunshine and kettle on. I dont think Nigel even noticed… ",y
Another walk added to our #Hampshire guide for the winter! Wrap up warm and get out in our county...… https://t.co/FvyXepe2Wa,y
RT @Paul_Anthony97: #SecretAffairs16 I'd advise you to be early to avoid being cold and made to wait in a line https://t.co/Sqre21Ic8N,y
RT @WPXIScott: Single-digit wind chills coming!  I'm timing the cold and who will see snow showers now on Channel 11 Morning News. https://…,y
it's so cold my nipples are gonna fall off,y
RT @ChristinaErne: 787 is seeing slight reduced visibility due to light rain and moderate fog. Cars taking it slow @WTEN,y
it's so cold my nipples are gonna fall off,y
Soooo cold holy cow 😭,y
RT @ChristinaErne: 787 is seeing slight reduced visibility due to light rain and moderate fog. Cars taking it slow @WTEN,y
"It is a ""super foggy"" morning here in SC! Like an old Sherlock Holmes movie outside! #HotCocoa #creativity .etsy.com/shop/greencottagedesign",y
Temperature: 29°C | Humidity: 64% | Pressure: 1010hPa () | Conditions: Partly Cloudy | Wind Direction: SW | Wind Speed: 13km/h,y
The struggle to get out of bed on a cold morning when you're snuggled up under 10 blankets with fuzzy socks and a big t shirt is soooo real.,y
"Regina SK Weather, Temp:-18.6ºC; Dew:-21.9ºC; Pressure:1031.20hPa.; Wind:0/kph@287.0 Wind Chill:-18.6°C Humidity:75",y
I'm tired and cold 💀,y
"Sunrise for December 07, 2016 at 01:12PM! The day's High is 86F with a Low of 75F. Current conditions are Partly Cloudy.",y
"RT @lelaniblack: Sunny Greece, missing underwear, just in time for the #holidays https://t.co/DZ1nDEecaW https://t.co/DHLEHmKjsj",y
RT @BustyBBWPamela: Morning twitter...wide awake and preparing to go back to sunny Manchester later.... https://t.co/Pq1ehlxM2R,y
RT @anadoluimages: Heavy #mist and #smoke blankets #Paris #France #AA #airpollution #eiffeltower #pollution https://t.co/R0Lfpm7uKZ,y
"RT @sonexjinro: At the SMTown Gala, they revealed a Station song that'll be out on the 30th and #Sunny is in it! It's for charity.… ",y
Forecast: Partly Cloudy // High: 73º // Low: 50º Full Forecast: https://t.co/LCy1QF1OIp #wx #weather #sky #georgia,y
RT @The_RHS: Winter jasmine's bright yellow flowers bring a bit of sunshine to dreary winter days https://t.co/e641yuubhT https://t.co/ObRb…,y
RT @eatkookies: Cloudy Skies https://t.co/XVGpkc5OoC,y
DallasTexasWX: It's 38 degrees in #Dallas with mist in the air and winds at N 3.36mph https://t.co/STYpSEPZEV,y
"NWSBirmingham: Mostly cloudy skies prevail today, but we'll stay rain free. Cool temps in the 50s can be expected … https://t.co/VGyMjmTnFC",y
Tomorrow's forecast: Mostly Sunny. High 30; Low 19.,y
fog sitting in over the fields this morning. #GodIsGreat https://t.co/ldlKdICVGu,y
"Sunset for December 07, 2016 at 04:42PM! 4 Mostly Sunny",y
